,index,hrefid,numberofreviews,new,pricerange,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,address,category1,category2,category3,category4,category5,firstreviewdate
0,5418,/biz/%C3%A9picerie-boulud-new-york-7,30,,$$,Midtown West,,,,,"1 W 59th St
New York, NY 10019",Bakeries,Coffee & Tea,Sandwiches,,,2015-03-20
1,2622,/biz/%C3%A9picerie-boulud-new-york-8,41,,$$,Financial District,,,,,"185 Greenwich St
New York, NY 10007",Sandwiches,French,,,,2016-11-02
2,2724,/biz/11-hanover-greek-new-york,40,,$$$,Financial District,,,,,"11 Hanover Sq
New York, NY 10005",Wine Bars,Mediterranean,,,,2016-11-07
3,3334,/biz/118-kitchen-new-york,24,,$,East Harlem,,,,,"1 E 118th St
New York, NY 10035",Tex-Mex,Japanese,,,,2016-01-27
4,2805,/biz/2nd-city-new-york-4,399,,$$,West Village,,,,,"525 Hudson St
New York, NY 10014",Filipino,Asian Fusion,Mexican,,,2016-05-11
5,4493,/biz/4-charles-prime-rib-new-york,69,,$$$,West Village,,,,,"4 Charles St
New York, NY 10014",Steakhouses,Supper Clubs,Seafood,,,2016-12-14
6,6476,/biz/49-monroe-new-york-4,74,,$$,Two Bridges,,,,,"49 Monroe St
New York, NY 10002",Bars,French,Italian,,,2016-06-10
7,4391,/biz/5-napkin-burger-new-york-9,86,,$$,Upper East Side,,,,,"1325 2nd Ave
New York, NY 10021",Burgers,Desserts,Salad,,,2015-11-03
8,2441,/biz/5th-and-mad-new-york-2,125,,$$,Midtown East,,,,,"7 E 36th St
New York, NY 10016",Gastropubs,Cocktail Bars,,,,2015-11-06
9,2367,/biz/7-tacos-authentic-mexican-new-york,58,,$$,Washington Heights,Inwood,,,,"101 Sherman Ave
New York, NY 10034",Mexican,,,,,2015-06-03
10,4642,/biz/710-west-new-york-2,37,,$$,Upper West Side,,,,,"710 Amsterdam Ave
New York, NY 10025",Soul Food,Sports Bars,Thai,,,2015-12-20
11,5681,/biz/8th-wonder-juice-bar-new-york,68,,$,Gramercy,,,,,"370 2nd Ave
New York, NY 10010",Juice Bars & Smoothies,Vegetarian,Acai Bowls,,,2015-03-09
12,3676,/biz/9ten-restaurant-new-york,100,,$$,Midtown West,,,,,"910 7th Ave
New York, NY 10019",American (New),Bars,Pizza,,,2015-10-19
13,2653,/biz/a-little-taste-new-york-2,8,,$$,Upper East Side,,,,,"234 E 60th St
New York, NY 10065",Cafes,Coffee & Tea,Coffee Roasteries,,,2016-08-04
14,6168,/biz/a-plus-chinese-new-york,6,,$$,Lower East Side,,,,,"84 Eldridge
New York, NY 10002",Chinese,,,,,2016-05-16
15,7574,/biz/a-taste-of-china-new-york-2,32,,$$,Gramercy,,,,,"391 2nd Ave
New York, NY 10010",Chinese,Wine Bars,,,,2016-08-26
16,2400,/biz/a-taste-of-seafood-new-york-3,23,,$$,Harlem,,,,,"2530 Frederick Douglass Blvd
New York, NY 10030",Seafood,Soul Food,,,,2015-11-04
17,3802,/biz/a1-asian-fusion-new-york-7,66,,$$,Harlem,,,,,"2071 7th Ave
New York, NY 10027",Asian Fusion,Japanese,Thai,,,2015-10-24
18,7678,/biz/aaa-ichiban-sushi-new-york-4,5,,$$,Lower East Side,,,,,"283 Broome St
New York, NY 10002",Japanese,Sushi Bars,,,,2016-08-31
19,6523,/biz/aahar-indian-cuisine-new-york,157,,$$,TriBeCa,Civic Center,,,,"10 Murray St
New York, NY 10007",Indian,,,,,2016-06-14
20,2737,/biz/abiko-curry-new-york-2,231,,$$,Koreatown,Midtown West,,,,"2 W 32nd St
New York, NY 10001",Japanese Curry,Noodles,Beer Bar,,,2016-08-08
21,6185,/biz/abitinos-pizza-new-york-9,23,,$,Hell's Kitchen,Midtown West,,,,"730 10th Ave
New York, NY 10019",Pizza,,,,,2016-05-17
22,6762,/biz/abu-dhabi-restaurant-and-hookah-lounge-new-york,8,,$$$,Washington Heights,,,,,"151 Nagle Ave
New York, NY 10040",Latin American,Lounges,Hookah Bars,,,2015-06-25
23,3224,/biz/adams-market-place-new-york,11,,$,Chelsea,,,,,"197 8th Ave
New York, NY 10011",Breakfast & Brunch,Delis,Wraps,,,2017-01-22
24,4217,/biz/adventure-cafe-new-york-2,15,,$,Lower East Side,,,,,"85 Delancey St
New York, NY 10002",Cafes,,,,,2015-11-19
25,3704,/biz/africa-kine-restaurant-new-york-2,45,,$$,Harlem,,,,,"2267 7th Ave
New York, NY 10027",Fast Food,,,,,2015-10-20
26,6002,/biz/agern-new-york,99,,$$$$,Midtown East,Murray Hill,,,,"89 E 42nd St
New York, NY 10017",Scandinavian,Bars,,,,2016-04-26
27,5148,/biz/ahimsa-new-york,151,,$$,Greenwich Village,,,,,"210 Thompson St
New York, NY 10012",Indian,Vegetarian,Kosher,,,2016-02-25
28,7086,/biz/aki-sushi-new-york-5,18,,$$,Midtown East,Murray Hill,,,,"216 E 39th St
New York, NY 10016",Sushi Bars,Japanese,,,,2015-07-22
29,2396,/biz/al-horno-lean-mexican-kitchen-new-york-13,54,,$$,Flatiron,,,,,"36 Lexington Ave
New York, NY 10010",Mexican,,,,,2015-08-04
30,4903,/biz/al-horno-lean-mexican-kitchen-new-york-16,20,,$$,Financial District,,,,,"110 Pearl St
New York, NY 10005",Mexican,,,,,2017-02-14
